part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
,,,,elektrische Verstellung,electrical adjustment,Ausbessern durch Korrosionsbildung nicht moeglich,Mending by corrosion formation not possible,,
,,,,Radhaus vorn links,Radhaus front left,2.202,2.202,,
,,,,Schutzleiste,Trash,Glas gebrochen,Broken glass,,
,,,,Querlenkerlagerung rechts,Wishbone bearing right,tiefe Kratzer,deep scratches,,
,,,,Traeger,Carrier,Zierleiste unten,Trim down,,
,,,,Dach (Harz,Roof (resin,Tuer vorne rechts Chromleiste unten,Tower front right chrome strip bottom,,
,,,,Dachreling rechts,Roof railring right,Innen,Inside,,
,,,,Scheinwerferreinigungsduese rechts,Headlight cleaning duese right,Stoßfaenger vorne Chromleiste mitte,Shock Fenger front chrome strip center,,
,,,,Innenkotfluegel,Indoor cot,03/ 2020,03/2020,,
,,,,Leichtmetallfelge vorn rechts (Sommerreifen. Keine rep. moeglich,Light metal rim on the front right (summer tires. No Rep possible,Tragbild mangelhaft,Loading picture poor,,
,,,,Tuer (Oberteil,Door (top,Zwei Dellen,Two dents,,
,,,,Stoßdaempfer rechts,Shock absorber right,nicht Bestandteil der Ausstattung,Not part of the equipment,,
,,,,Leuchtmittel rechts,Bulb right,Verkleidung,Cladding,,
,,,,Kennzeichenleuchte rechts,License plate light right,Ladebordwand hinten,Tail lift rear,,
,,,,Stossfaenger hinten rechts,Stossfainer rear right,Planenbefestigung,Plan attachment,,
,,,,Verkl. Hecktuer Sperrholz unten,Ease. Hecktuer plywood down,Klebereste,Adhesive,,
,,,,Außenspiegel,Exterior mirror,Unterdruckschlauch Luftfilterkasten,Pressure hose air filter box,,
,,,,Tuerscheibendichtung vorn links,Tower slide seal on the front left,Haken fuer Zollschnurr 4x,Hook for Zollschnurn 4x,,
,,,,Schriftzug,Lettering,Delle,Delle,,
,,,,Verzurroese,Turquoise,06/19/22,06/19/22,,
,,,,Kuehlergrill,Bloody grill,Großbuendig,Bustling,,
,,,,Staufachdeckel,Stanchion,Fensterblende,Window shutter,,
,,,,Trennnetz,Separation net,3x,3x,,
,,,,Innenraum (C,Interior (C,5x,5x,,
,,,,Windlauf,Windscare,Fehlende Daten,Missing data,,
,,,,Abgas,exhaust,Schwergaengig,Heavy,,
,,,,Tagfahrlicht,Daytime running light,Polster,pad,,
,,,,Scheinwerferreinigungsduese links,Headlight cleaning duese links,Sitzbank,Bench,,
,,,,Dichtung Heckdeckel /,Seal tail cover /,Verkleidung hinter Motor,Fairing behind engine,,
,,,,Dach (ca. 10,Roof (about 10,Nur OElwechsel,Only oil change,,
,,,,Frontleiste,Front bar,inkl. Sitzpolster,incl. Seat pad,,
,,,,Motorverkleidung,Engine panel,Ohne OElwechsel,Without oil change,,
,,,,Innenraumleuchte vorn,Interior light front,Sommerreifen,Summer tires,,
,,,,Dreieckscheibe rechts,Triangle window right,wird noch gemacht laut Enbw,is still made according to EnBW,,
,,,,Endschalldaempfer,Final sound,Winterreifen,Winter tires,,
,,,,Inspektion/Wartung (Seit,Inspection / Maintenance (since,Lackkante,Varnish,,
,,,,Einstieg (hinten,Entry (back,Daemmung,Insulation,,
,,,,Achsen / Fahrwerk,Axis / chassis,eingebrannte Folie,Burnt foil,,
,,,,Innenraum (Regalsystem links,Interior (shelving system left,rechts,right,,
,,,,Schonbezug rechts,Preservation right,2 unterschiedliche Reifenmarken ( Winterreifen),2 different tire brands (winter tires),,
,,,,Seitenscheibe hinten rechts,Side window rear right,in 16 Tagen faellig,Faellig in 16 days,,
,,,,Ladungssicherung,Load securing,Sprung,Leap,,
,,,,Innenraumleuchte hinten,Interior light rear,Isolierung,insulation,,
,,,,Verkleidung Hartfaser unten,Fairing hard fiber down,"Druckstelle, Zierleiste lose","Pressure, trim loose",,
,,,,Regaleinbau,Shelf,Glasbruch schaden,Glass breakage damage,,
,,,,Fahrzeug,vehicle,Glasbruch Schaden,Glass breakage damage,,
,,,,Leuchtmittel,Bulb,3 stueck,3 pieces,,
,,,,Tank,tank,Griff,Handle,,
,,,,Grill,grill,Abweichend Ausstattung,Deviating equipment,,
,,,,Tuer (Lackmangel. Kante oben,Door (paint deficiency. Edge above,Ladekante,Larding edge,,
,,,,Heckklappe (Mittelsteg,Tailgate (center bar,druecken,to press,,
,,,,Partikelfilter,Particle filter,Kratzer /,Scratch,,
,,,,Abschleppoese,Towing,Daemmmatte,Dorm,,
,,,,Tuerdichtung vorn links,Tuer seal front left,Materialabtrag > 2mm,Material removal> 2mm,,
,,,,Gasdruckdaempfer,Gas printing,Beule,bump,,
,,,,Innenraum (Heckscheiben,Interior (rear slices,Hundehaare,Dog hair,,
,,,,Parksensoren rechts,Parking sensors on the right,Stoßfaenger hinten,Rear bumper,,
,,,,Heckblech,Tail plate,Freibremsen,Free brake,,
,,,,Glas vorn rechts,Glass front right,Fleckenbildung,Stain,,
,,,,Verkleidung Sperrholz unten,Cladding plywood down,Schimmel,Mould,,
,,,,Schiebetuerverkleidung re Holzdekor,Sliding control trim Re wood decor,Leiste,strip,,
,,,,Heckscheibe rechts,Rear window right,Anprallschaden,Impact damage,,
,,,,Heckscheibe links,Rear window left,Tuerkannte,Towered,,
,,,,Heckbereich,Tail area,Kratzer und Lackmaengel am ganzen Fahrzeugdach,Scratches and varnish gel all over the vehicle roof,,
,,,,Zigarettenanzuender,Cigarette lighter,Biologische Veraetzung,Biodification,,
,,,,Karosserie (Beschriftungs,Body (lettering,Lacklaeufer,Lacquer,,
,,,,Sitzverstellung rechts,Seat adjustment right,Fluessigkeit,Liquid,,
,,,,Tuerscheibe vorn rechts,Towers front right,Motoroel wechsel,Motoroel change,,
,,,,Einstieg vorn rechts,Entry in front right,Glanzgedreht,Shiny,,
,,,,Reifensatz komplett (TOUS PNEUS,Tire set complete (Tous Pneus,Materialabtrag zu groß,Material removal too big,,
,,,,Endrohr,Tailpipe,Biologische veraetzung,Biodification,,
,,,,Sonnenblende,Sun visor,Weniger als 1000 km,Less than 1000 km,,
,,,,2 Radblenden,2 wheel covers,Materialabtrag glanzgedreht,Material removal,,
,,,,Auftritt,Appearance,Materialabtrag Glanzgedreht,Material removal,,
,,,,3 Radblenden,3 wheel covers,Lackmangel und verformt,Paint deficiency and deformed,,
,,,,Feststellbremshebel,Parking brake lever,Sichtbereich,Vision area,,
,,,,Gurtsystem Fahrgastraum,Gurtsystem passenger compartment,Schalter ohne Funktion,Switch without function,,
,,,,Einstieg vorn links,Enter front left,3stk,3pc,,
,,,,Außenspiegel elektrisch,Exterior mirror electrical,Rau; Schleifspuren; Lackabplatzer,Rough; Grinding tracks; Lacquer,,
,,,,Radhaus hinten links,Radhaus rear left,inkl. Unterteil ern und Zierleiste rechts ern.,including under part and trim rights.,,
,,,,Radhaus hinten rechts,Radhaus rear right,Fensterfuehrung HR,Window guide HR,,
,,,,Anhaengekupplung abnehmbar,Removable attachment coupling,Klarlackkante,Clearcoat,,
,,,,Spiegelglas,Mirror glass,Fehlermeldung,error message,,
,,,,Schlosstraeger,Schlossstraeger,Veraetzung durch Vogelkot,Contribution by birdcot,,
,,,,Laderaumkantenabdeckung unten,Carrying edge cover bottom,Vogelkotveraetzung,Birdcot composition,,
,,,,Griff Motorhaubenzug,Handle hood train,"Winterreifen, falscher Geschwindigkeitsindex (V statt Y)","Winter tires, false speed index (V instead of y)",,
,,,,Innenraum (Feuchtigkeit,Interior (moisture,Reifendruck,Tire pressure,,
,,,,Blende unter Scheinwerfer,Aperture under headlight,Auslegen und polieren,Lay out and polish,,
,,,,Frontscheibendichtung,Front shot,Falscher Typ und Geschwindigkeitsindex verbaut,Wrong type and speed index installed,,
,,,,Sicherheitsgurt 3. Reihe links,Seat strap 3. Series left,Stoßfaenger,Shock,,
,,,,Unterboden,Underbody,Ladekante spoten,Loading edge rages,,
,,,,Verkl. Hecktuer Hartfaser Mitte,Ease. Hecktuer Hartfiber Mitte,Und diverse Kratzer,And various scratches,,
,,,,Teppichboden,Carpet,Baumharz,Tree resin,,
,,,,Scharnier oben,Hinge above,Dichtung,poetry,,
,,,,Tuerdichtung vorn rechts,Tuer seal front right,Unfall,accident,,
,,,,zusaetzlicher Laderaumboden,Additional cargo floor,Rsndbereich,RSnd area,,
,,,,Sitz,Seat,Materialabtragung,Material removal,,
,,,,Verbandkasten,Bandage box,Zierleiste links Chrom,Trim Left Chrome,,
,,,,Motorhaube (Ca. 10,Bonnet (about 10,Erheblicher Materialabtrag,Significant material removal,,
,,,,Schiebedach / Glas,Sunroof / glass,Tragbild unzureichend,Load picture insufficient,,
,,,,Hitzeblech,Heating plate,"ohne Polymer, abweichend von Hinterachse","Without polymer, deviating from rear axle",,
,,,,Stoßdaempfer links,Shock absorber left,verschlissen und,worn and,,
,,,,Tuerdichtung hinten rechts,Tuer seal rear right,Inkl. Grill erneuern,Incl. Grill renew,,
,,,,Dachluke / Schiebedach,Roof guys / sunroof,Abdeckung,cover,,
,,,,Rahmen,framework,Innenflanke verschlissen,Inner flank worn,,
,,,,Dach (Heckklappe oberhalb,Roof (tailgate above,Kratzer auslegen,Lay out scratches,,
,,,,Jahresinspektion,Annual inspection,Oberhalb Tuer hinten,Above door back,,
,,,,Sitz rechts,Seat right,Unten rechts,Bottom right,,
,,,,Teppichboden hinten links,Carpet rear left,Orangenhaut beseitigen,Eliminate orange skin,,
,,,,Dreieckscheibe links,Triangle window left,Sommerbereifung,Summer tires,,
,,,,Staufach oben,Staufach above,seit 05/19.,since 05/19.,,
,,,,Halter vorn rechts,Holder in front right,Sommerreifen.,Summer tires.,,
,,,,Ersatzrad,Spare wheel,"Sommerreifen. Riss Aussenflanke,","Summer tires. Ripped outer flank,",,
,,,,Heckklappe (Zinkplatzer. Unterhalb Heckscheibe,Tailgate (zinc places. Below rear window,"Tragbild,Korrosion,eingelaufen,Riefenbildung","Loading picture, corrosion, run, shouting",,
,,,,Kabelstrang,wire harness,und rechts.,and right.,,
,,,,Kotfluegel hinten rechts,Cotfluegel rear right,oeffnet nicht,does not open,,
,,,,Luftduese,Air duese,"Winterrad, liegt im Kofferraum","Winter wheel, lies in the trunk",,
,,,,Verdeck,Hood,Aschenbecher o. F.,Ashtray o. F.,,
,,,,Schlauch Turbolader,Hose turbocharger,Schalter Abdeckung,Switch cover,,
,,,,Bremssattel hinten,Brake caliper behind,Leder,leather,,
,,,,Bremssaettel vorn,Brake Said,Druckstelle,Printing point,,
,,,,Reifen vorn (Keine W,Tire front (no w,Zierleiste mitte,Trim center,,
,,,,Zierleiste,Trim,Ladekantenschutz,Bumper protection,,
,,,,Reifen vorn (Sommerreifen,Tire front (summer tires,Unterer Schutz,Lower protection,,
,,,,Seitenwand (Verformung,Sidewall (deformation,Schutz,protection,,
,,,,Aschenbecher hinten,Ashtray rear,Bis auf den Grund,Up to the bottom,,
,,,,Innenverkleidung hinten,Interior trim rear,Sitze hinten verschimmelt,Seats behind molded,,
,,,,Glas rechts,Glass right,Heckleuchte AR + IR,Tail light AR + IR,,
,,,,Tuerscheibe hinten rechts,Tow wheel rear right,2.201,2201,,
,,,,Felge vorn rechts,Rim in front right,4.2019,4.2019,,
,,,,Felge vorn links,Rim front left,mittig,center,,
,,,,Fensterheber,Windows,Glanzgedrehte Oberflaeche,Gloss-turned surface,,
,,,,Lambdasonde,Lambda probe,zwei Winterreifensaetze vorhanden,Two winter tire stands available,,
,,,,Heckscheibe getoent,Tailplate totoent,In 20 Tagen,In 20 days,,
,,,,Tuer (mit Unterrostung. mittig,(With towering. Center,9.2019,9.2019,,
,,,,Seitenwand (unterhalb,Side wall (below,evtl.Hagelschaden,possibly,,
,,,,Heckklappe (Kante unterhalb Heckscheibe,Tailgate (edge ​​below rear window,Einlage Filz,Inlude felt,,
,,,,Tuer (unterhalb,(Below,"Schimmelbildung (Schadenausweitung moeglich,Mehrkosten moeglic","Molds (damage expansion possible, additional costs Moeglic",,
,,,,Schonbezug links,Slide cover left,Einlagen,insoles,,
,,,,Einbauten,Install,Mit Korrosionsbildung,With corrosion,,
,,,,Schließanlage,Locking system,Inspektion seit 76 Tagen faellig,Inspection Faellig for 76 days,,
,,,,Ersatzradverkleidung,Spare wheel cover,4.202,4202,,
,,,,Motorverkleidung unten hinten,Engine trim at the bottom,Inspektion seit 53 Tagen faellig,Inspection for 53 days Faellig,,
,,,,"Felgensatz komplett (Toronto 6,5 J x 16 (5",Rim set complete (Toronto 6.5 J x 16 (5,3.202,3202,,
,,,,1 Stahlfelge,1 steel rim,Matte Stellen,Mat,,
,,,,Sonnenblende links beleuchtet,Sun visor left lit,7.202,7.202,,
,,,,Sonnenblende rechts beleuchtet,Sun visor on the right illuminated,Ford Emblem,Ford emblem,,
,,,,Innenkotfluegel unterhalb,Inner cotlose below,Daemmatte,Mat,,
,,,,Stossfaenger hinten (unterhalb,Stossfaenger rear (below,Abeckung,Coagulation,,
,,,,Zuendkerze / Gluehkerze,Zugerzeze / Gluehkerze,Verformt,Deformed,,
,,,,Vorderachse,Front axle,Steinschlag,Rockfall,,
,,,,Teppichboden vorn rechts,Carpet front right,"SR, Geschwindigkeitsindex","SR, speed index",,
,,,,Lautsprecherabdeckung,Speaker cover,vorn,front,,
,,,,Gurtschloss rechts,Curtle right,Haltegurt,Strap,,
,,,,Kotfluegel hinten links,Cotfluegel rear left,Rechte seite.,Right side.,,
,,,,Inspektion/Wartung (,Inspection / Maintenance (,Mehrkosten moeglich,Additional costs possible,,
,,,,Bremsscheiben und Belaege hinten (Geraeusch,Brake Discs and Belae Rear (Geraeusch,Unterhalb,Below,,
,,,,Einstieg Schiebetuer links,Entry sliding door left,seit 12/19.,Since 12/19.,,
,,,,Vorgluehanlage,Preliminary,Zinkplatzer.,Zinc place.,,
,,,,Kennzeichentraeger,License plate trainer,"Werkstattpruefung erforderlich,Mehrkosten moeglich","Workshop monitoring required, additional costs possible",,
,,,,Reifen vorn (Allwetter / Winter,Tire front (all-weather / winter,Innenseite verschlissen,Inside worn,,
,,,,Motorhaube (Dellen,Bonnet (Dellen,Druckstellen,Pressure,,
,,,,Radhaus vorn rechts,Radhaus front right,Tuergummi,Tugum,,
,,,,Frontscheibe heizbar,Windscreen heated,Inspektion ohne OEl,Inspection without oil,,
,,,,Verkl. Stossfaenger Auftritt mit Parktronic,Ease. Stossfainger appearance with Parktronic,grôsser 2mm,Grostser 2mm,,
,,,,Zusatzleuchte,Auxiliary light,Lackmangel,Lack of paint,,
,,,,Blinkleuchte hinten links,Flash light rear left,& Kratzer.,& Scratches.,,
,,,,Innenverkleidung hi li Holzdekor,Interior cladding Hi Li Holzdekor,Felgenhorn,Rim,,
,,,,Innenverkleidung hi re Holzdekor,Interior cladding Hi Re Wooden decor,Steinschlag mit,Stone fight with,,
,,,,LED,LED,Steinschlag und,Stone fight and,,
,,,,Trittbrett,Footboard,Mit dem Stoßfaenger links,With the shock fenger left,,
,,,,Blende unterhalb links,Aperture below left,SR,Sr,,
,,,,Leichtmetallfelge vorn links (Sommerreifen. Keine rep. moeglich,Light metal rim on the front left (summer tires. No rep. Possible,Anaetzung polieren,Equation polish,,
,,,,Sitzheizung links,Seat heater left,Thuletraeger,Thultraeger,,
,,,,Typschild,Type sign,Entriegelung Griff,Unlocking handle,,
,,,,Motorhaubebowdenzug,Motor HaaubeBowden cable,MKL,Mkl,,
,,,,Reifen hinten (Sommerreifen,Rear tire (summer tires,"Nicht pruefbar, da kein Deckel/ Zugang","Not to be supported, since no lid / access",,
,,,,Abdeckung Stossfaenger hinten,Cover shockfenger rear,Korrosionsantrag und Anaetzung,Corrosion application and obsolete,,
,,,,Regenschirm,umbrella,Mit Materialabtrag,With material removal,,
,,,,Schweller hinten,Sills back,UEbermaeßiger,Oversight,,
,,,,Bodenbelag vorn links,Flooring front left,Korrosionsantrag,Corrosion,,
,,,,Ausruestung,Equipment,Zierblende,Trim,,
,,,,Heckklappe (Dellen. Kante unten,Tailgate (Dents. Edge below,"polieren, auslegen","polish, lay out",,
,,,,Schweller (verkratzt. Teilstueck unter Tuer hinten,SCHLEER (scratched. Partial under door rear,"Schleifspuren, Orangenhaut","Grinding tracks, orange skin",,
,,,,Xenon links,Xenon left,Dichter Steinschlag,Denser,,
,,,,Kotfluegel links (Harz,Cotfluegel left (resin,Luefteinlass,Lueftein,,
,,,,Kopfstuetze Sitz rechts,Headstuetzen seat right,Tragfaehigkeitsindex,Traceability index,,
,,,,Teppichboden hinten rechts,Carpet rear right,falsch montiert. Inside zeigt nach aussen,incorrectly mounted. Inside shows outwards,,
,,,,Kopfstuetze Sitz links,Headstuetzen seat left,Halterung faehrt nicht aus. Folgekosten moeglich,Bracket does not diminish. Subsequent costs possible,,
,,,,Lufteinlassgitter (Siehe Stoßfaenger erneuern,Air intake grille (see replace shock fenger,"Orangenhaut, Silikoneinschluesse, Staubeinschluesse","Orange skin, silicone influence, dust inclusion",,
,,,,Heckscheibe (& hintere Seitenscheiben,Rear window (& rear side windows,und Dellen,and dents,,
,,,,Tuerdichtgummi rechts,Tuerdichtgummi right,Innenseite,inside,,
,,,,Reifensatz komplett (Keine Seal 4,Tire set complete (no Seal 4,8.2019,8.2019,,
,,,,Nebelleuchte hinten links,Nebelluche rear left,Schleifen&Polieren,Grinding & Polishing,,
,,,,Bremsanlage,Brake system,erhoeter Aufwand,charging effort,,
,,,,Warndreieck,Warning triangle,Druckstellen,Pressure,,
,,,,Tuerdichtung hinten links,Tuer seal rear left,Groeßer 3mm,Großer 3mm,,
,,,,Zigarettenanzuender (12,Cigarette submission (12,Drei Felgen,Three rims,,
,,,,Radnabe links,Wheel hub left,Ausbrueche,Outbreaks,,
,,,,Kappe,cap,Kofferraum Tierhaare etc.,Coffee room Animal hair etc.,,
,,,,Felgensatz komplett (Materialabtrag zu groß,Rim set complete (material removal too big,Innenverschleiß,Interior wear,,
,,,,Bordwerkzeug,On-board tool,07 19,07 19,,
,,,,Leseleuchte,Reading light,Betaetigungsknopf,Contamination knob,,
,,,,Spiegelgehaeuse (und,Mirrorship (and,Zwischenboden,Intermediate,,
,,,,Schloss / Verriegelung,Castle / lock,UEbermaeßiger Steinschlag,Over-dimensional rockfall,,
,,,,Scheinwerferreinigungsanlage,Headlight cleaning system,#NAME?,#NAME?,,
,,,,Blinkleuchte seitlich,Flash light sideways,Blende am Tuergriff,Iron on the door handle,,
,,,,Abgasanlage,Exhaust system,Verkleidung. Folgekosten moeglich.,Fairing. Subsequent costs possible.,,
,,,,Einstiegsleuchte links,Entry light left,Rissbildung.,Cracking.,,
,,,,Felge hinten rechts,Rear right rim,"Kotfluegel links, Tuer vorne links. Folgekosten moeglich.","Cotfluegel left, door front left. Subsequent costs possible.",,
,,,,Fahrzeugschluessel (1x Funk,Vehicle key (1x radio,"Struktur, Staubeinschluesse","Structure, dust inclusion",,
,,,,Motor (Fehler: Start,Engine (Error: Start,"Schleifspuren, Orangenhaut, Staubeinschluesse","Grinding tracks, orange skin, dust inclusion",,
,,,,Ansaugrohr /,Intake tube /,"Staubeinschluesse, Silikoneinschluesse","Dust inclusion, silicone inclusion",,
,,,,Sitzkastenverkleidung links,Seat box cladding left,"Staubeinschluesse, Orangenhaut","Dust inclusion, orange skin",,
,,,,Sitzkastenverkleidung rechts,Seat box cladding right,Anaetzungen,Arbitration,,
,,,,Einstiegsleuchte rechts,Entry light right,Orangenhaut und Schmutzeinschluesse,Orange skin and dirt inclusion,,
,,,,Inspektion/Wartung (OElwechsel,Inspection / Maintenance (Oil change,Und Anaetzungen,And arrangements,,
,,,,Xenon rechts,Xenon right,und unterschiedliche Hersteller,and different manufacturers,,
,,,,Innenkotfluegel hinten,Inside cottle,mehr als 5 auf 10 x 10,More than 5 to 10 x 10,,
,,,,Karosserie (Wasserabweiser A,Body (water deflector A,Radlauf,Bike,,
